news_headline,news_article,news_category,compound
tokyo olympics medal tally look like todays events,japan top medal tally 13 gold medals four silver medals five bronze medals china overtaken usa second position 12 gold medals six silver medals nine bronze medals usa number medals far 31 india tied 43rd eight teams,sports,0.6369
sri lanka end fourmatch losing streak t20i cricket india,sri lanka defeated india four wickets last second t20i colombo level threematch series 11 sri lankas first victory india last five completed t20i matches dhananjaya de silva topscored sri lanka 4034 akila dananjaya registered bowling figures 40292,sports,-0.4767
priyanka shares old interview biles gymnast withdraws olympic events,fourtime olympic gold medallist simone biles withdrew tokyo olympics events focus mental health actress priyanka chopra shared old interview interview biles talked stress people not satisfied four gold medals 2016 olympics meeting peoples needs time hardest thing biles said,sports,-0.4082
world number one archer deepika reaches womens individual round 16 olympics,world number one deepika kumari advanced round 16 womens individual archery beating jennifer mucinofernandez usa 64 tokyo olympics wednesday deepika kumari earlier beaten bhutans karma 60 round 64 deepika already mixed team archery event alongside pravin jadhav,sports,-0.5423
nasa shares pic tokyo taken space says olympics light night,nasa took instagram share picture litup japans tokyo currently hosting olympic games taken international space station olympic games light night nasa captioned picture picture captured astronaut shane kimbrough currently commander nasa spacex crew2 mission iss,sports,0.296
world no 1 shuttler momota knocked tokyo olympics mens singles first round,world number one mens badminton player kento momota japan knocked tokyo olympics finishing second group momota lost kwanghee heo south korea 1521 1921 last group match kwanghee heo advanced next round topping group earlier today indias sai praneeth also exited tournament,sports,0.0
archer atanu beats 2time olympic champ oh jinhyek reach last 16 tokyo games,indian archer atanu das defeated twotime olympic champion oh jinhyek south korea reach round 16 tokyo games thursday 29yearold archer beat oh jinhyek shootoff scores tied 55 atanu face japans takaharu furukawa round 16 saturday,sports,0.2263
indian archer deepika kumari beats bhutans karma reach round 32 olympics,indian archer deepika kumari defeated bhutans karma 60 reach round 32 womens individual event tokyo olympics earlier day tarundeep rai pravin jadhav crashed mens individual archery losing round 32 indias mixed team deepika kumari pravin jadhav lost quarterfinal saturday,sports,-0.7845
boxer pooja rani beats algerias ichrak chaib reach quarterfinals olympics,indian boxer pooja rani defeated algerias ichrak chaib womens 75kg middleweight category reach quarterfinals 30yearold bout unanimous 50 decision 20yearold opponent pooja ranis quarterfinal bout take place july 31 indias satish kumar face jamaicas ricardo brown mens 91kg round 16 tomorrow,sports,-0.4588
mental wellbeing important players sindhu reaching olympic knockouts,world champion shuttler pv sindhu reaching womens singles knockouts tokyo olympics said mental wellbeing important players important stay calm keep busy added notably fourtime olympic gold medallist gymnast simone biles withdrew events tokyo olympics focus mental health,sports,0.8625
die responsible medvedev olympic umpire playing extreme heat,world number 2 tennis player daniil medvedev representing russian olympic committee roc tokyo olympics took multiple breaks struggling extreme heat third round win fabio fognini one point chair umpire asked could continue playing medvedev replied finish match dieif diewill responsible,sports,0.6597
not kabaddi mahindra 3x3 basketball makes debut olympics,mahindra groups chairman anand mahindra wednesday questioned kabaddi could not olympic sport 3x3 basketball could played first time tokyo olympics mahindra tweeted esoteric forms sport make debut olympics added especially ones obvious nation initially favour,sports,0.5994
india defeat argentina 31 reach mens hockey quarterfinals tokyo olympics,india defeated argentina 31 fourth pool match reach quarterfinals tokyo olympics harmanpreet singh vivek sagar prasad varun kumar scored goal india india currently second points table last pool match take place tomorrow japan,sports,-0.4588
world champion pv sindhu reaches womens singles quarterfinals tokyo olympics,reigning badminton world champion pv sindhu reached quarterfinals womens singles event tokyo olympics defeated world number 12 mia blichfeldt denmark round 16 scoreline 2115 2113 match lasted 41 minutes sindhu next face winner match akane yamaguchi gaeun kim,sports,0.6249
satish kumar indias firstever super heavyweight boxer olympics reaches quarters,satish kumar indias firstever super heavyweight boxer qualified olympics reached quarterfinals mens 91kg category tokyo games 32yearold defeated jamaicas ricardo brown 41 round 16 thursday satish face uzbekistans bakhodir jalolov quarterfinal august 1 sunday,sports,0.296
olympic silver medallist mirabai chanu meets family 2 years shares pics,weightlifter mirabai chanu clinched indias firstever olympic silver medal weightlifting tokyo games met family manipur two years shared pictures tweeted feeling meeting family long span two years beyond wordsthank youema baba sacrifices made reach level,sports,0.7269
india forced make 7 changes playing xi 2nd t20i vs sri lanka,india lost toss asked bat first sri lanka second t20i india forced make seven changes eight players go isolation close contacts covid19 positive krunal pandya devdutt padikkal ruturaj gaikwad nitish rana chetan sakariya making t20i debuts,sports,-0.5267
padikkal becomes first cricketer born 21st century play team india,devdutt padikkal become first cricketer born 21st century represent team india padikkal born july 7 2000 made t20i debut sri lanka wednesday scored 2923 debut afghanistans mujeeb ur rahman first male cricketer born 21st century play international cricket achieving feat 2017,sports,0.34
selectors not pick players holiday dravid india forced make 7 changes,india forced make seven changes playing xi second t20i sri lanka rahul dravid said selected play indiayou good enough play xi added not thinkselectors pick warm bench holiday people earn right come dravid stated,sports,0.7604
