news_headline,news_article,news_category
What is India's schedule at Tokyo Olympics for tomorrow?,"Indian women's hockey team will face Great Britain in a Pool A match at Tokyo Olympics at 6.30 am tomorrow. Shuttler PV Sindhu's women's singles group match will start at 7.30 am. Pooja Rani's women's 75kg boxing round of 16 will start at 2.33 pm. Archers Pravin Jadhav, Deepika Kumari and Tarundeep Rai's matches will also take place tomorrow.",sports
Chinese diplomats criticise use of 'ugly' pic of Olympics athlete by media org,"Chinese embassy in Sri Lanka criticised the use of an unflattering image of a Chinese athlete and an 'anti-China' headline in stories on the Olympics by Reuters and CNN. Sharing a story on weightlifter Hou Zhihui, it said, ""Among all photos...Reuters [chose] this one, which shows how ugly they are...Don't put politics...above sports and call yourself an unbiased media organisation.""",sports
India suffer third straight defeat in women's hockey at Tokyo Olympics,Great Britain defeated India 4-1 in a Pool A match in women's hockey at Tokyo Olympics today. This is India's third straight defeat in women's hockey event at the Tokyo Olympics. India are currently fifth on the Pool A points table. The top four teams in each pool will qualify for the quarter-finals.,sports
World champion PV Sindhu qualifies for round of 16 at Tokyo Olympics,"World champion PV Sindhu qualified for women's singles round of 16 after winning her second straight match in Group J. The 26-year-old Rio Olympics silver medallist defeated Hong Kong's Cheung Ngan Yi 21-9, 21-16 in 35 minutes. Sindhu topped her group with a points difference of +42. She won a total of 84 points and lost 42 points.",sports
Biles withdraws from gymnastics all-around final at Olympics over mental health,"USA Gymnastics has confirmed that four-time Olympic gold medallist Simone Biles will not participate in Thursday's women's all-around final. The governing body said that Biles took the decision in order to focus on her mental health. She had withdrawn from Tuesday's women's team final as well. ""We wholeheartedly support Simone’s decision,"" the USA Gymnastics added.",sports
What was the pistol issue that cost Bhaker a spot in 10m Air Pistol final at Olympics?,"Manu Bhaker couldn't qualify for women's 10m Air Pistol final at Olympics after her pistol malfunctioned when she had to shoot 44 shots in 55 minutes. The cocking lever, pulled to open the barrel, broke and while it was being replaced, the circuit also malfunctioned. Bhaker lost time as pistol was being repaired and was left with just 36 minutes.",sports
Indian archer Tarundeep Rai's third Olympics campaign ends after round of 32 defeat,"Indian archer Tarundeep Rai's third Olympics campaign ended with a round of 32 defeat in the men's individual event at the Tokyo Olympics on Wednesday. The 37-year-old lost to Israel’s Itay Shanny in a shoot-off at the Yumenoshima Park Archery Field. Earlier, he, Atanu Das and Pravin Jadhav had crashed out of men's team event in quarter-finals.",sports
"Swimmer Kaylee says 'F**k yeah' on live TV after Olympic gold, mother reacts","Australian swimmer Kaylee McKeown, who broke Olympic record to win gold in women's 100m backstroke final at Tokyo Olympics, was asked what she'd like to say to her mother and sister. She replied, ""F**k yeah!"" on live TV followed by ""Oh s**t"". ""Swearing on TV! I'll have to have a word to her later,"" her mother reacted.",sports
How does the medal tally look like after today's events at Tokyo Olympics? ,"Japan continue to be on top of the medal tally at Tokyo Olympics with 10 gold medals, three silver medals and five bronze medals. Second-placed USA have won the highest number of medals at the 2020 Games so far at 25 (nine gold medals, eight silver medals and eight bronze medals). India are tied at 39th with seven other countries.",sports
Indian archer Tarundeep Rai reaches round of 32 in men's individual event at Olympics,"Indian archer Tarundeep Rai has reached the round of 32 in men's individual event at the Tokyo Olympics. He defeated Ukraine's Oleksii Hunbin 6-4 in the round of 64. The 37-year-old archer, who is in his third Olympics, trailed 2-4 against the Ukrainian debutant before he won the final two sets with three perfect 10s to wrap up the match.",sports
World number one archer Deepika reaches women's individual round of 16 at Olympics,World number one Deepika Kumari advanced to round of 16 in the women’s individual archery after beating Jennifer Mucino-Fernandez of USA 6-4 at the Tokyo Olympics on Wednesday. Deepika Kumari had earlier beaten Bhutan's Karma 6-0 in the round of 64. Deepika is already out of the mixed team archery event alongside Pravin Jadhav.,sports
Boxer Pooja Rani beats Algeria's Ichrak Chaib to reach quarter-finals at Olympics,Indian boxer Pooja Rani defeated Algeria's Ichrak Chaib in the women's 75kg middleweight category to reach the quarter-finals. The 30-year-old won the bout by an unanimous 5-0 decision against her 20-year-old opponent. Pooja Rani's quarter-final bout will take place on July 31. India's Satish Kumar will face Jamaica's Ricardo Brown in the men's 91kg round of 16 tomorrow.,sports
Withdrew from Olympic final over mental health: 4-time gold winning gymnast Biles,"Four-time Olympic gold medal-winning American gymnast Simone Biles has said she withdrew from the women's team gymnastics final at the Tokyo Olympics because of mental health issues. ""I have to focus on my mental health...We have to protect our body and our mind,"" said 24-year-old Biles. Following her withdrawal, the Russian Olympic Committee won gold while USA took silver.",sports
"Coach shakes and slaps German judoka to fire her up before Olympic fight, video viral","A video of German judoka Martyna Trajdos being shaken and slapped by her coach ahead of her fight at Tokyo Olympics has gone viral. Several users on social media voiced their concern for Martyna's wellbeing. However, Martyna clarified she chose the ritual before fights, adding, ""My coach is just doing what I want him to do to fire me up!""",sports
Indian archer Jadhav beats world no. 2 Galsan to reach round of 32 at Tokyo Olympics,"Indian archer Pravin Jadhav has reached the round of 32 in men's individual event at the Tokyo Olympics. He defeated world number two, ROC's Galsan Bazarzhapov 6-0 in the round of 64. Earlier today, Indian archer Tarundeep Rai had crashed out of the event after losing to Israel’s Itay Shanny in the round of 32.",sports
Indian archer Deepika Kumari beats Bhutan's Karma to reach round of 32 at Olympics,"Indian archer Deepika Kumari defeated Bhutan's Karma 6-0 to reach the round of 32 in women's individual event at the Tokyo Olympics. Earlier in the day, Tarundeep Rai and Pravin Jadhav crashed out of men's individual archery after losing in the round of 32. India's mixed team of Deepika Kumari and Pravin Jadhav had lost their quarter-final on Saturday.",sports
"After Tarundeep Rai, archer Pravin Jadhav knocked out of Olympics in round of 32","Indian archer Pravin Jadhav has been knocked out of Olympics after losing 0-6 to US' Brady Ellison in men's individual round of 32 match. He had defeated world number two, ROC's Galsan Bazarzhapov 6-0 in the round of 64. Earlier today, Indian archer Tarundeep Rai's third Olympics campaign ended with a round of 32 defeat in the men's individual event.",sports
Moroccan boxer tries to bite opponent's ear at Tokyo Olympics; video goes viral,"A video showing Moroccan boxer Youness Baalla trying to bite his opponent and New Zealand boxer David Nyika's ear during their boxing match at Tokyo Olympics has gone viral. ""He didn't get a full mouthful. Luckily he had his mouthguard in and I was a bit sweaty,"" Nyika said. Nyika went on to win the match 5-0.",sports
Shoaib Akhtar shares video of cars being washed away in Pak floods after cloudburst,"Former Pakistani cricketer Shoaib Akhtar shared a video of cars being washed away in floods in Islamabad after a cloudburst. ""This craziness has been witnessed by Islamabad this morning. These scenes are from sector E-11. I wish and pray for safety of everyone,"" Akhtar wrote. Islamabad Deputy Commissioner has restricted unnecessary movement in the region.",sports
